Registro,Nombre,Referencia de Tramite,Equivalencia Terapéutica o Biosimilar,Titular,Estado del Registro,Resolución Inscríbase,Fecha Inscríbase,Ultima Renovación,Fecha Próxima renovación,Régimen,Vía Administración,Condición de Venta,Expende tipo establecimiento,Indicación,Fecha Próxima Renovación,Procesado,,,,,
F-8286/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25938/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26001/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26810/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-27360/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-28407/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26313/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8844/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8704/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-1256/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24580/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-24631/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28302/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-28419/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25774/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-10967/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-25494/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-9866/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-8701/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-26362/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-27926/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-27856/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-26072/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28311/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-25519/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-23608/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-14446/20,,,,,,,,,,,,,,,,FALSE,,,,,
F-15806/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28051/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-15807/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-28406/24,,,,,,,,,,,,,,,,FALSE,,,,,
F-26210/21,,,,,,,,,,,,,,,,FALSE,,,,,
F-23772/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-19567/22,,,,,,,,,,,,,,,,FALSE,,,,,
F-24391/23,,,,,,,,,,,,,,,,FALSE,,,,,
F-18858/21,,,,,,,,,,,,,,,,FALSE,,,,,
